,station_name,postal_code,sublocality,neighborhood,state
237,Howard St & Centre St,10013,Manhattan,Lower Manhattan,NY
238,Clinton Ave & Myrtle Ave,11205,Brooklyn,Clinton Hill,NY
239,Henry St & Grand St,10002,Manhattan,Lower East Side,NY
240,Barclay St & Church St,10007,Manhattan,Lower Manhattan,NY
241,Lispenard St & Broadway,10013,Manhattan,Lower Manhattan,NY
242,1 Ave & E 62 St,10065,Manhattan,Upper East Side,NY
243,W 47 St & 10 Ave,10036,Manhattan,Hell's Kitchen,NY
244,Columbus Ave & W 72 St,10023,Manhattan,Upper West Side,NY
245,Concord St & Bridge St,11201,Brooklyn,Downtown Brooklyn,NY
246,Queens Plaza North & Crescent St,11101,Queens,Long Island City,NY
247,Little West St & 1 Pl,10004,Manhattan,Lower Manhattan,NY
248,1 Ave & E 78 St,10010,Manhattan,Upper East Side,NY
249,W 84 St & Columbus Ave,10024,Manhattan,Upper West Side,NY
250,Broadway & Battery Pl,10004,Manhattan,Lower Manhattan,NY
251,E 33 St & 5 Ave,10016,Manhattan,Midtown,NY
252,Cliff St & Fulton St,10038,Manhattan,Lower Manhattan,NY
253,E 84 St & Park Ave,10028,Manhattan,Upper East Side,NY
254,Monroe St & Classon Ave,11238,Brooklyn,Bedford-Stuyvesant,NY
255,E 55 St & 2 Ave,10022,Manhattan,Midtown,NY
256,Cumberland St & Lafayette Ave,11238,Brooklyn,Fort Greene,NY
257,Broadway & W 41 St,10036,Manhattan,Midtown,NY
258,E 82 St & 2 Ave,10028,Manhattan,Upper East Side,NY
259,Watts St & Greenwich St,10013,Manhattan,Lower Manhattan,NY
260,Bank St & Hudson St,10014,Manhattan,Lower Manhattan,NY
261,W 11 St & 6 Ave,10011,Manhattan,Lower Manhattan,NY
262,Franklin St & Dupont St,11222,Brooklyn,Greenpoint,NY
263,W 67 St & Broadway,10023,Manhattan,Lincoln Square,NY
264,Madison St & Montgomery St,10002,Manhattan,Lower Manhattan,NY
265,State St & Smith St,11201,Brooklyn,Boerum Hill,NY
266,South St & Whitehall St,10004,Manhattan,Lower Manhattan,NY
267,E 72 St & York Ave,10021,Manhattan,Upper East Side,NY
268,West St & Chambers St,12534,Manhattan,Lower Manhattan,NY
269,W 21 St & 6 Ave,10010,Manhattan,Midtown,NY
270,Willoughby Ave & Tompkins Ave,11206,Brooklyn,Bedford-Stuyvesant,NY
271,Central Park West & W 76 St,10023,Manhattan,Central Park,NY
272,12 Ave & W 40 St,10036,Manhattan,Midtown,NY
273,E 81 St & Park Ave,10028,Manhattan,Upper East Side,NY
274,Dean St & 4 Ave,11217,Brooklyn,Boerum Hill,NY
275,E 85 St & York Ave,10028,Manhattan,Upper East Side,NY
276,Front St & Maiden Ln,10038,Manhattan,Lower Manhattan,NY
277,E 30 St & Park Ave S,10016,Manhattan,Midtown,NY
278,E 25 St & 2 Ave,10010,Manhattan,Midtown,NY
279,West Thames St,10280,Manhattan,Lower Manhattan,NY
280,Maiden Ln & Pearl St,10038,Manhattan,Lower Manhattan,NY
281,Johnson St & Gold St,11201,Brooklyn,Downtown Brooklyn,NY
282,46 Ave & 5 St,11101,Queens,Long Island City,NY
283,Central Park S & 6 Ave,10019,Manhattan,Midtown,NY
284,E 58 St & 3 Ave,10022,Manhattan,Midtown East,NY
285,Grand St & Havemeyer St,11211,Brooklyn,Williamsburg,NY
286,Hanson Pl & St Felix St,11217,Brooklyn,Fort Greene,NY
287,Monroe St & Bedford Ave,11216,Brooklyn,Bedford-Stuyvesant,NY
288,Adelphi St & Myrtle Ave,11205,Brooklyn,Fort Greene,NY
289,E 55 St & 3 Ave,10022,Manhattan,Midtown East,NY
290,S 3 St & Bedford Ave,11249,Brooklyn,Williamsburg,NY
291,E 67 St & Park Ave,10065,Manhattan,Upper East Side,NY
292,E 5 St & Avenue C,10009,Manhattan,Lower Manhattan,NY
293,Roebling St & N 4 St,11211,Brooklyn,Williamsburg,NY
294,E 47 St & Park Ave,10017,Manhattan,Midtown,NY
295,Riverside Dr & W 82 St,10024,Manhattan,Upper West Side,NY
296,Lafayette Ave & Classon Ave,11238,Brooklyn,Bedford-Stuyvesant,NY
297,Scholes St & Manhattan Ave,11206,Brooklyn,Williamsburg,NY
298,Pershing Square South,10168,Manhattan,Midtown,NY
299,Duane St & Greenwich St,10013,Manhattan,Lower Manhattan,NY
300,St James Pl & Pearl St,10038,Manhattan,Lower Manhattan,NY
301,McGuinness Blvd & Eagle St,11222,Brooklyn,Greenpoint,NY
302,Clinton St & Joralemon St,11201,Brooklyn,Brooklyn Heights,NY
303,Christopher St & Greenwich St,10014,Manhattan,Lower Manhattan,NY
304,William St & Pine St,10005,Manhattan,Lower Manhattan,NY
305,E 53 St & Madison Ave,10022,Manhattan,Midtown,NY
306,E 85 St & 3 Ave,10028,Manhattan,Upper East Side,NY
307,Front St & Washington St,11201,Brooklyn,Dumbo,NY
308,Riverside Dr & W 78 St,10024,Manhattan,Upper West Side,NY
309,E 16 St & 5 Ave,10011,Manhattan,Midtown,NY
310,Greenwich St & Warren St,10282,Manhattan,Lower Manhattan,NY
311,E 72 St & Park Ave,10021,Manhattan,Upper East Side,NY
312,W 82 St & Central Park West,10024,Manhattan,Central Park,NY
313,W 24 St & 7 Ave,10011,Manhattan,Midtown,NY
314,Greene Ave & Nostrand Ave,11216,Brooklyn,Bedford-Stuyvesant,NY
315,W 46 St & 11 Ave,10036,Manhattan,Midtown,NY
316,Fulton St & Grand Ave,11238,Brooklyn,Clinton Hill,NY
317,W 45 St & 6 Ave,10036,Manhattan,Midtown West,NY
318,E 11 St & Broadway,10003,Manhattan,Lower Manhattan,NY
319,Broadway & W 36 St,10018,Manhattan,Midtown,NY
320,Broadway & W 39 St,10018,Manhattan,Midtown,NY
321,Penn Station Valet,10001,Manhattan,Midtown,NY
322,DeKalb Ave & S Portland Ave,11217,Brooklyn,Fort Greene,NY
323,Washington St & Gansevoort St,10014,Manhattan,Lower Manhattan,NY
324,W 34 St & 11 Ave,10001,Manhattan,Midtown,NY
325,Avenue D & E 12 St,10009,Manhattan,Lower Manhattan,NY
326,Greenwich St & N Moore St,10013,Manhattan,Lower Manhattan,NY
327,Washington Ave & Greene Ave,11238,Brooklyn,Clinton Hill,NY
328,Central Park West & W 68 St,10023,Manhattan,Upper West Side,NY
329,5 Ave & E 73 St,10021,Manhattan,Upper East Side,NY
330,Broadway & W 37 St,10018,Manhattan,Midtown,NY
331,E 81 St & 3 Ave,10028,Manhattan,Upper East Side,NY
332,Driggs Ave & Lorimer St,11222,Brooklyn,Greenpoint,NY
333,Willoughby St & Fleet St,11201,Brooklyn,Downtown Brooklyn,NY
334,Pearl St & Hanover Square,10005,Manhattan,Lower Manhattan,NY
335,Catherine St & Monroe St,10002,Manhattan,Lower Manhattan,NY
336,Front St & Gold St,11201,Brooklyn,Vinegar Hill,NY
337,MacDougal St & Washington Sq,10011,Manhattan,Lower Manhattan,NY
338,Warren St & Church St,10007,Manhattan,Lower Manhattan,NY
339,Washington Park,11201,Brooklyn,Fort Greene,NY
340,W 64 St & West End Ave,10023,Manhattan,Lincoln Square,NY
341,E 25 St & 1 Ave,10010,Manhattan,Midtown,NY
342,Columbia Heights & Cranberry St,11201,Brooklyn,Brooklyn Heights,NY
343,W 18 St & 6 Ave,10011,Manhattan,Midtown,NY
344,Broadway & W 53 St,10019,Manhattan,Midtown,NY
345,E 60 St & York Ave,10065,Manhattan,Upper East Side,NY
346,Clermont Ave & Park Ave,11205,Brooklyn,Fort Greene,NY
347,W 13 St & 5 Ave,10011,Manhattan,Lower Manhattan,NY
348,Bialystoker Pl & Delancey St,10002,Manhattan,Lower Manhattan,NY
349,W 13 St & 6 Ave,10011,Manhattan,Lower Manhattan,NY
350,Leonard St & Boerum St,11206,Brooklyn,Williamsburg,NY
351,Henry St & Atlantic Ave,11201,Brooklyn,Brooklyn Heights,NY
352,Fulton St & William St,10038,Manhattan,Lower Manhattan,NY
353,South St & Gouverneur Ln,10005,Manhattan,Lower Manhattan,NY
354,Union Ave & Jackson St,,Brooklyn,Williamsburg,NY
355,Fulton St & Clermont Ave,11238,Brooklyn,Fort Greene,NY
356,Washington Ave & Park Ave,11205,Brooklyn,Clinton Hill,NY
357,Park Ave & St Edwards St,11201,Brooklyn,Fort Greene,NY
358,W 44 St & 5 Ave,10036,Manhattan,Midtown,NY
359,Norfolk St & Broome St,10002,Manhattan,Lower East Side,NY
360,Atlantic Ave & Furman St,11201,Brooklyn,Brooklyn Heights,NY
361,Driggs Ave & N Henry St,11222,Brooklyn,Greenpoint,NY
362,N 6 St & Bedford Ave,11249,Brooklyn,Williamsburg,NY
363,Cambridge Pl & Gates Ave,11238,Brooklyn,Clinton Hill,NY
364,Spruce St & Nassau St,10038,Manhattan,Lower Manhattan,NY
365,E 59 St & Madison Ave,10022,Manhattan,Midtown,NY
366,Liberty St & Broadway,10038,Manhattan,Lower Manhattan,NY
367,Lewis Ave & Madison St,,Brooklyn,Bedford-Stuyvesant,NY
368,W 20 St & 11 Ave,10011,Manhattan,Midtown,NY
369,S 4 St & Wythe Ave,,Brooklyn,Williamsburg,NY
370,W 51 St & 6 Ave,10020,Manhattan,Midtown West,NY
371,Fulton St & Washington Ave,11238,Brooklyn,Clinton Hill,NY
372,Stanton St & Mangin St,10002,Manhattan,Lower Manhattan,NY
373,Hancock St & Bedford Ave,11216,Brooklyn,Bedford-Stuyvesant,NY
374,E 45 St & 3 Ave,10017,Manhattan,Midtown East,NY
375,Vernon Blvd & 50 Ave,11101,Queens,Long Island City,NY
376,Willoughby Ave & Hall St,11205,Brooklyn,Clinton Hill,NY
377,DeKalb Ave & Skillman St,11205,Brooklyn,Bedford-Stuyvesant,NY
378,Lefferts Pl & Franklin Ave,11238,Brooklyn,Bedford-Stuyvesant,NY
379,Lafayette St & Jersey St,10012,Manhattan,Lower Manhattan,NY
380,India St & East River,11222,Brooklyn,Greenpoint,NY
381,11 Ave & W 59 St,10019,Manhattan,Midtown,NY
382,Halsey St & Tompkins Ave,11216,Brooklyn,Bedford-Stuyvesant,NY
383,McKibbin St & Manhattan Ave,11206,Brooklyn,Williamsburg,NY
384,Carlton Ave & Park Ave,11205,Brooklyn,Fort Greene,NY
385,Water - Whitehall Plaza,10004,Manhattan,Lower Manhattan,NY
386,Humboldt St & Varet St,11206,Brooklyn,Williamsburg,NY
387,W 13 St & Hudson St,10014,Manhattan,Lower Manhattan,NY
388,Greenwich St & W Houston St,10014,Manhattan,Lower Manhattan,NY
389,Greene Ave & Throop Ave,11221,Brooklyn,Bedford-Stuyvesant,NY
390,Leonard St & Bayard St,11222,Brooklyn,Williamsburg,NY
391,Clinton St & Tillary St,11201,Brooklyn,Downtown Brooklyn,NY
392,Sands St & Navy St,11201,Brooklyn,Navy Yard,NY
393,5 Ave & E 63 St,10065,Manhattan,Upper East Side,NY
394,S Portland Ave & Hanson Pl,11217,Brooklyn,Fort Greene,NY
395,Norman Ave & Leonard St,11222,Brooklyn,Greenpoint,NY
396,3 Ave & Schermerhorn St,11217,Brooklyn,Fort Greene,NY
397,N Henry St & Richardson St,11222,Brooklyn,Williamsburg,NY
398,Centre St & Worth St,10013,Manhattan,Lower Manhattan,NY
399,Kosciuszko St & Tompkins Ave,,Brooklyn,Bedford-Stuyvesant,NY
400,Willoughby Ave & Walworth St,11205,Brooklyn,Bedford-Stuyvesant,NY
401,Greenpoint Ave & Manhattan Ave,11222,Brooklyn,Greenpoint,NY
402,Albany Ave & Fulton St,11213,Brooklyn,Bedford-Stuyvesant,NY
403,Division Ave & Hooper St,,Brooklyn,Williamsburg,NY
404,Graham Ave & Herbert St,,Brooklyn,Williamsburg,NY
405,Marcus Garvey Blvd & Macon St,,Brooklyn,Bedford-Stuyvesant,NY
406,44 Dr & Jackson Ave,11101,Queens,Long Island City,NY
407,Marcy Ave & Lafayette Ave,11216,Brooklyn,Bedford-Stuyvesant,NY
408,Stagg St & Union Ave,,Brooklyn,Williamsburg,NY
409,9 St & 44 Rd,11101,Queens,Long Island City,NY
410,Cadman Plaza E & Tillary St,11201,Brooklyn,Downtown Brooklyn,NY
411,Pearl St & Anchorage Pl,11201,Brooklyn,Dumbo,NY
412,Clinton Ave & Flushing Ave,11205,Brooklyn,Navy Yard,NY
413,Union Ave & Wallabout St,,Brooklyn,Williamsburg,NY
414,31 St & Thomson Ave,11101,Queens,Long Island City,NY
415,Putnam Ave & Nostrand Ave,11216,Brooklyn,Bedford-Stuyvesant,NY
416,Bedford Ave & S 9 St,11211,Brooklyn,Williamsburg,NY
417,Lexington Ave & Classon Ave,11238,Brooklyn,Bedford-Stuyvesant,NY
418,Lorimer St & Broadway,11206,Brooklyn,Williamsburg,NY
419,21 St & 43 Ave,11101,Queens,Long Island City,NY
420,Cadman Plaza W & Pierrepont St,11201,Brooklyn,Brooklyn Heights,NY
421,Brooklyn Bridge Park - Pier 2,,Brooklyn,Brooklyn Heights,NY
422,Devoe St & Leonard St,11211,Brooklyn,Williamsburg,NY
423,Laight St & Hudson St,10013,Manhattan,Lower Manhattan,NY
424,Myrtle Ave & St Edwards St,11201,Brooklyn,Fort Greene,NY
425,45 Rd & 11 St,11101,Queens,Long Island City,NY
426,Kosciuszko St & Nostrand Ave,11216,Brooklyn,Bedford-Stuyvesant,NY
427,Fulton St & Utica Ave,11233,Brooklyn,Bedford-Stuyvesant,NY
428,Throop Ave & Myrtle Ave,11206,Brooklyn,Bedford-Stuyvesant,NY
429,Lewis Ave & Decatur St,,Brooklyn,Bedford-Stuyvesant,NY
430,Bond St & Fulton St,11201,Brooklyn,Downtown Brooklyn,NY
431,Kingston Ave & Herkimer St,11213,Brooklyn,Bedford-Stuyvesant,NY
432,Boerum St & Broadway,11206,Brooklyn,Williamsburg,NY
433,Franklin Ave & Myrtle Ave,11205,Brooklyn,Bedford-Stuyvesant,NY
434,N 15 St & Wythe Ave,11222,Brooklyn,Greenpoint,NY
435,Tompkins Ave & Hopkins St,,Brooklyn,Bedford-Stuyvesant,NY
436,Nostrand Ave & Myrtle Ave,11205,Brooklyn,Bedford-Stuyvesant,NY
437,47 Ave & 31 St,11101,Queens,Long Island City,NY
438,Pulaski St & Marcus Garvey Blvd,,Brooklyn,Bedford-Stuyvesant,NY
439,Park Ave & Marcus Garvey Blvd,11206,Brooklyn,Bedford-Stuyvesant,NY
440,Railroad Ave & Kay Ave,11249,Brooklyn,Navy Yard,NY
441,48 Ave & 5 St,11109,Queens,Long Island City,NY
442,Marcy Ave & MacDonough St,11216,Brooklyn,Bedford-Stuyvesant,NY
443,1 Ave & E 44 St,10017,Manhattan,Midtown,NY
444,Central Park West & W 85 St,10024,Manhattan,Upper West Side,NY
445,E 47 St & 1 Ave,10017,Manhattan,Midtown,NY
446,W 76 St & Columbus Ave,10023,Manhattan,Upper West Side,NY
447,5 Ave & E 78 St,10075,Manhattan,Upper East Side,NY
448,East End Ave & E 86 St,10028,Manhattan,Upper East Side,NY
449,Huron St & Franklin St,11222,Brooklyn,Greenpoint,NY
450,W 78 St & Broadway,10024,Manhattan,Upper West Side,NY
451,E 48 St & Madison Ave,10017,Manhattan,Midtown,NY
452,Riverside Blvd & W 67 St,10069,Manhattan,Lincoln Square,NY
453,Henry St & Poplar St,11201,Brooklyn,Brooklyn Heights,NY
454,E 48 St & 5 Ave,10017,Manhattan,Midtown East,NY
455,Lexington Ave & E 63 St,10065,Manhattan,Upper East Side,NY
456,Amsterdam Ave & W 82 St,10024,Manhattan,Upper West Side,NY
457,E 41 St & Madison Ave,10017,Manhattan,Midtown,NY
458,E 40 St & Madison Ave,10016,Manhattan,Midtown,NY
459,Leonard St & Manhattan Ave,11222,Brooklyn,Williamsburg,NY
460,21 St & Queens Plaza North,11101,Queens,Long Island City,NY
461,21 St & 41 Ave,11101,Queens,Long Island City,NY
